iter	Passed	Remaining
0	0	80
1	2	103
2	2	91
3	3	79
4	4	77
5	4	74
6	5	71
7	5	67
8	6	65
9	6	62
10	7	60
11	8	59
12	8	59
13	9	59
14	10	59
15	11	58
16	11	58
17	12	57
18	13	57
19	13	55
20	14	54
21	14	52
22	15	51
23	15	50
24	17	51
25	17	50
26	18	49
27	18	48
28	19	48
29	20	47
30	20	46
31	21	45
32	21	44
33	22	43
34	23	42
35	23	42
36	24	41
37	24	40
38	25	39
39	25	38
40	26	38
41	26	36
42	27	36
43	27	35
44	28	34
45	28	33
46	29	33
47	30	32
48	30	31
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	27
57	36	26
58	36	25
59	37	24
60	37	24
61	38	23
62	38	22
63	39	22
64	40	21
65	41	21
66	42	20
67	43	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	17
73	46	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	54	8
87	54	7
88	55	6
89	55	6
90	56	5
91	56	4
92	57	4
93	57	3
94	58	3
95	58	2
96	59	1
97	59	1
98	60	0
99	60	0
