iter	Passed	Remaining
0	0	771
1	1	696
2	1	649
3	8	2126
4	9	1943
5	10	1725
6	10	1559
7	11	1430
8	12	1344
9	12	1266
10	13	1209
11	14	1158
12	14	1113
13	15	1072
14	15	1038
15	16	1007
16	16	980
17	18	983
18	19	1014
19	20	997
20	21	979
21	21	968
22	22	953
23	22	935
24	24	947
25	26	975
26	26	967
27	27	953
28	28	940
29	28	927
30	29	914
31	30	914
32	30	902
33	31	890
34	31	879
35	33	885
36	34	888
37	34	879
38	35	869
39	35	860
40	36	852
41	36	843
42	37	840
43	38	836
44	41	880
45	43	892
46	43	888
47	44	881
48	45	875
49	46	877
50	47	885
51	48	879
52	48	872
53	49	865
54	49	858
55	50	851
56	51	844
57	51	837
58	52	831
59	52	829
60	53	825
61	54	828
62	55	826
63	56	822
64	56	817
65	57	811
66	57	806
67	58	801
68	59	798
69	59	793
70	61	804
71	62	809
72	63	806
73	64	802
74	64	799
75	65	794
76	65	790
77	66	785
78	67	785
79	68	785
80	69	788
81	70	785
82	70	777
83	70	772
84	71	768
85	71	763
86	72	759
87	72	754
88	73	750
89	73	747
90	74	743
91	74	739
92	75	735
93	76	742
94	78	746
95	80	754
96	80	753
97	81	751
98	82	750
99	83	748
100	84	749
101	84	746
102	85	742
103	85	738
104	86	734
105	86	730
106	87	727
107	87	723
108	88	720
109	88	716
110	89	713
111	89	711
112	90	708
113	91	707
114	93	716
115	93	716
116	94	716
117	95	716
118	96	714
119	97	717
120	98	714
121	98	710
122	99	708
123	99	705
124	100	703
125	100	700
126	101	697
127	102	696
128	102	694
129	103	691
130	103	688
131	104	685
132	104	683
133	105	680
134	106	683
135	107	684
136	108	682
137	109	680
138	109	679
139	110	676
140	110	674
141	110	670
142	113	678
143	114	682
144	115	681
145	116	679
146	116	677
147	117	675
148	117	673
149	119	678
150	120	676
151	125	701
152	127	704
153	128	705
154	129	703
155	129	701
156	130	698
157	130	696
158	131	694
159	132	694
160	132	691
161	133	690
162	133	687
163	134	685
164	135	685
165	143	719
166	144	722
167	145	722
168	147	726
169	148	726
170	149	725
171	150	724
172	152	726
173	154	733
174	155	732
175	156	731
176	157	730
177	157	729
178	158	727
179	159	725
180	160	725
181	161	724
182	168	753
183	169	752
184	170	751
185	171	749
186	172	748
187	174	754
188	177	760
189	177	758
190	178	757
191	179	755
192	180	754
193	181	753
194	183	759
195	184	758
196	185	756
197	186	754
198	187	752
199	187	750
200	188	748
201	189	746
202	189	744
203	190	742
204	191	740
205	191	739
206	192	737
207	193	735
208	194	737
209	200	755
210	201	754
211	203	755
212	205	757
213	206	758
214	207	756
215	208	755
216	208	753
217	209	751
218	210	749
219	212	755
220	214	756
221	215	754
222	216	752
223	218	756
224	221	761
225	221	760
226	222	757
227	223	755
228	223	753
229	225	754
230	229	763
231	230	762
232	230	760
233	233	764
234	234	762
235	235	761
236	235	759
237	236	756
238	236	754
239	237	751
240	237	748
241	238	746
242	238	743
243	239	741
244	239	739
245	240	737
246	241	736
247	242	733
248	242	731
249	242	728
250	243	726
251	243	724
252	244	721
253	244	719
254	245	717
255	245	714
256	246	712
257	246	710
258	247	708
259	247	705
260	248	703
261	248	701
262	249	698
263	249	696
264	250	694
265	250	691
266	251	689
267	251	687
268	252	685
269	252	682
270	253	680
271	253	678
272	254	676
273	254	675
274	255	673
275	256	672
276	256	669
277	257	667
278	257	665
279	258	663
280	258	661
281	259	659
282	259	657
283	259	655
284	260	653
285	260	651
286	261	649
287	261	647
288	262	645
289	262	643
290	263	641
291	263	639
292	264	637
293	264	636
294	265	634
295	265	632
296	266	630
297	266	628
298	267	626
299	267	624
300	268	622
301	268	620
302	269	618
303	269	617
304	270	615
305	270	614
306	271	612
307	272	611
308	272	609
309	273	607
310	273	605
311	273	604
312	274	602
313	274	600
314	275	598
315	275	597
316	276	595
317	276	593
318	277	592
319	277	590
320	278	588
321	278	587
322	279	585
323	279	583
324	280	582
325	280	580
326	281	578
327	281	577
328	282	575
329	282	573
330	283	572
331	283	570
332	284	569
333	284	567
334	285	566
335	285	565
336	286	563
337	286	562
338	287	560
339	287	558
340	288	557
341	289	556
342	289	554
343	290	553
344	290	551
345	291	550
346	291	548
347	292	547
348	292	545
349	292	544
350	293	542
351	293	540
352	294	539
353	294	537
354	295	536
355	295	534
356	296	533
357	296	531
358	297	530
359	297	529
360	298	527
361	298	526
362	299	525
363	299	524
364	300	522
365	301	522
366	304	525
367	305	523
368	305	522
369	305	521
370	306	519
371	307	519
372	308	518
373	308	517
374	309	515
375	309	514
376	310	512
377	310	511
378	311	509
379	311	508
380	312	507
381	312	505
382	313	504
383	313	503
384	314	501
385	314	500
386	315	499
387	320	505
388	321	505
389	323	505
390	323	504
391	324	503
392	325	502
393	326	501
394	326	500
395	326	498
396	327	497
397	327	496
398	328	494
399	328	493
400	329	492
401	330	491
402	330	490
403	332	489
404	333	489
405	334	489
406	335	488
407	335	486
408	336	485
409	336	484
410	337	482
411	337	481
412	338	480
413	338	479
414	339	478
415	339	476
416	340	475
417	340	474
418	341	473
419	341	471
420	342	470
421	342	469
422	343	467
423	343	466
424	344	465
425	344	464
426	345	463
427	345	461
428	346	460
429	347	460
430	347	459
431	348	458
432	349	457
433	349	455
434	350	454
435	350	453
436	351	452
437	351	451
438	352	449
439	352	448
440	353	447
441	353	446
442	354	445
443	354	444
444	355	442
445	355	441
446	356	440
447	356	439
448	357	438
449	357	436
450	357	435
451	358	434
452	358	433
453	359	432
454	359	430
455	360	429
456	360	428
457	361	427
458	364	429
459	364	428
460	365	427
461	365	426
462	366	424
463	366	423
464	367	422
465	368	421
466	368	420
467	369	419
468	369	418
469	369	417
470	370	416
471	370	414
472	371	413
473	372	412
474	372	411
475	372	410
476	373	409
477	373	408
478	374	407
479	374	406
480	375	404
481	376	404
482	376	403
483	377	402
484	378	402
485	379	400
486	379	399
487	380	398
488	380	397
489	381	396
490	381	395
491	382	394
492	382	393
493	383	392
494	383	391
495	384	390
496	384	389
497	385	388
498	385	387
499	386	386
500	386	385
501	387	384
502	387	382
503	388	381
504	388	380
505	389	379
506	389	378
507	390	378
508	391	377
509	391	376
510	394	377
511	394	376
512	395	375
513	396	374
514	396	373
515	397	372
516	397	371
517	400	372
518	400	371
519	401	370
520	401	369
521	402	368
522	402	367
523	403	366
524	403	365
525	404	364
526	404	363
527	404	362
528	405	360
529	405	359
530	406	358
531	406	357
532	407	357
533	408	356
534	409	355
535	409	354
536	410	353
537	410	352
538	411	351
539	411	350
540	412	349
541	412	348
542	412	347
543	413	346
544	414	345
545	414	344
546	415	343
547	415	342
548	416	341
549	416	340
550	417	339
551	417	339
552	418	338
553	419	337
554	419	336
555	420	335
556	420	334
557	421	333
558	421	332
559	421	331
560	422	330
561	424	330
562	424	329
563	425	328
564	425	327
565	426	326
566	426	325
567	427	324
568	427	324
569	428	323
570	428	322
571	429	321
572	429	320
573	430	319
574	430	318
575	431	317
576	431	316
577	432	315
578	432	314
579	433	314
580	434	313
581	434	312
582	435	311
583	436	310
584	436	309
585	436	308
586	437	307
587	438	307
588	439	306
589	439	305
590	440	304
591	440	303
592	441	302
593	441	301
594	442	300
595	442	300
596	443	299
597	443	298
598	444	297
599	445	296
600	445	295
601	446	295
602	446	294
603	447	293
604	447	292
605	448	291
606	450	291
607	452	291
608	453	291
609	453	290
610	454	289
611	455	288
612	455	287
613	456	287
614	458	287
615	459	286
616	460	285
617	460	284
618	461	283
619	461	283
620	462	282
621	462	281
622	463	280
623	463	279
624	464	278
625	464	277
626	465	276
627	465	275
628	468	276
629	471	276
630	471	275
631	472	275
632	472	274
633	473	273
634	474	272
635	474	271
636	475	270
637	475	269
638	476	269
639	476	268
640	477	267
641	478	266
642	478	265
643	478	264
644	479	263
645	479	263
646	480	262
647	486	264
648	487	263
649	488	263
650	489	262
651	490	261
652	491	260
653	491	260
654	492	259
655	493	258
656	493	257
657	558	290
658	559	289
659	560	288
660	566	290
661	567	289
662	568	288
663	569	288
664	570	287
665	571	286
666	572	286
667	574	285
668	575	284
669	576	284
670	577	283
671	578	282
672	579	281
673	580	280
674	581	279
675	581	278
676	582	278
677	587	279
678	589	278
679	594	279
680	595	278
681	596	277
682	628	291
683	630	291
684	631	290
685	632	289
686	636	290
687	638	289
688	639	288
689	640	287
690	641	286
691	642	285
692	643	284
693	644	284
694	645	283
695	645	282
696	646	281
697	647	280
698	648	279
699	652	279
700	653	278
701	654	277
702	654	276
703	655	275
704	656	274
705	657	273
706	658	272
707	659	271
708	660	270
709	661	270
710	661	269
711	674	272
712	675	271
713	676	270
714	677	269
715	678	268
716	680	268
717	681	267
718	682	266
719	683	265
720	683	264
721	684	263
722	685	262
723	686	261
724	687	260
725	688	259
726	689	258
727	690	257
728	690	256
729	691	255
730	692	254
731	693	253
732	694	253
733	696	252
734	696	251
735	697	250
736	698	249
737	699	248
738	700	247
739	702	246
740	703	245
741	704	244
742	704	243
743	705	242
744	743	254
745	744	253
746	745	252
747	746	251
748	747	250
749	748	249
750	751	249
751	752	248
752	753	247
753	755	246
754	756	245
755	757	244
756	758	243
757	759	242
758	761	241
759	761	240
760	762	239
761	763	238
762	764	237
763	765	236
764	766	235
765	766	234
766	767	233
767	769	232
768	772	231
769	772	230
770	773	229
771	774	228
772	776	228
773	777	227
774	788	229
775	789	228
776	790	226
777	791	225
778	792	224
779	793	223
780	794	222
781	794	221
782	795	220
783	796	219
784	797	218
785	808	220
786	810	219
787	813	218
788	816	218
789	818	217
790	820	216
791	820	215
792	821	214
793	822	213
794	823	212
795	824	211
796	833	212
797	835	211
798	836	210
799	837	209
800	839	208
801	847	209
802	848	208
803	853	208
804	855	207
805	857	206
806	859	205
807	860	204
808	861	203
809	907	212
810	908	211
811	909	210
812	910	209
813	918	209
814	919	208
815	921	207
816	922	206
817	923	205
818	924	204
819	925	203
820	926	202
821	933	202
822	934	201
823	936	199
824	936	198
825	938	197
826	938	196
827	943	196
828	945	195
829	949	194
830	951	193
831	952	192
832	952	191
833	953	189
834	986	194
835	987	193
836	988	192
837	990	191
838	992	190
839	993	189
840	998	188
841	999	187
842	1000	186
843	1001	185
844	1002	183
845	1003	182
846	1010	182
847	1011	181
848	1012	180
849	1014	178
850	1015	177
851	1016	176
852	1017	175
